Date,Open,High,Low,Close,Volume,Ticker,Daily_Return,MA20,MA50,Volatility
2025-06-30,180.265759020371,180.71447592478233,174.08339834249907,175.72869873046875,63378900,GOOGL,-1.2882817293224935,172.0171806335449,165.58190399169922,1.797593104611942
2025-07-01,175.24007631497474,175.58907153758963,173.03635642713306,175.33978271484375,35904500,GOOGL,-0.2213161643116246,172.36690139770508,166.07774475097656,1.7540025768060536
2025-07-02,175.04063318866915,178.35119606008848,174.5719841997796,178.13182067871094,29128900,GOOGL,1.5923585170673382,172.99814682006837,166.69894348144533,1.7195077981389366
2025-07-03,177.99221838299502,179.15888824066795,176.5463462627362,179.019287109375,21689700,GOOGL,0.4982076909575639,173.58064346313478,167.26219940185547,1.7109424287790584
2025-07-07,178.5506411042797,178.78996387462078,175.18025102838192,176.28709411621094,34175600,GOOGL,-1.526200353761198,174.01856384277343,167.693525390625,1.7613684464414183
2025-07-08,177.3440914457585,177.44379785510552,172.3184197808512,173.864013671875,40442500,GOOGL,-1.3745081320238994,174.06293792724608,167.9981088256836,1.649358999648236
2025-07-09,174.75148618121452,178.92956979741228,172.27854501653255,176.11758422851562,43025600,GOOGL,1.2961684876858337,174.08936233520507,168.29438018798828,1.6399680624432096
2025-07-10,175.1303863111691,177.92240891673904,173.8839422139032,177.11471557617188,29252400,GOOGL,0.5661736458765221,174.0405014038086,168.63748504638673,1.6124538208851482
2025-07-11,176.28707682895777,180.91387676081473,175.97796112386152,179.6774139404297,34282900,GOOGL,1.4469144226221475,174.18209686279297,169.0408071899414,1.6357576363622095
2025-07-14,180.49507959550706,183.14751640721383,179.16886118965368,181.04351806640625,32536600,GOOGL,0.7603093210310163,174.4742630004883,169.4985415649414,1.623772525561847
2025-07-15,182.2899779932072,183.69597077242528,181.08342846821492,181.48228454589844,33448300,GOOGL,0.24235415008408978,174.8397216796875,169.91525360107423,1.6138208022229192
2025-07-16,182.71876014286474,183.80565587223137,181.5121954195811,182.44952392578125,33104200,GOOGL,0.532966279492797,175.1488395690918,170.29693145751952,1.599213074448599
2025-07-17,181.62187886390834,183.53641535247564,179.96659729454643,183.0577850341797,31992600,GOOGL,0.3333859663267047,175.52925491333008,170.6871890258789,1.592115379123512
2025-07-18,184.87259850820493,185.88970124039062,183.1874187229756,184.5335693359375,34014500,GOOGL,0.8061849439958246,176.11458435058594,171.12648315429686,1.54373645460629
2025-07-21,185.720180506412,189.74868135121883,185.62045888710102,189.55923461914062,45803100,GOOGL,2.7234422990290996,177.28424758911132,171.9023309326172,1.281670820045229
2025-07-22,190.95526385169356,191.1048310792618,186.92676263021804,190.79571533203125,44660200,GOOGL,0.6522925223743092,178.58802947998046,172.6451431274414,1.2296305827252425
2025-07-23,190.95523422678895,191.9823029377756,188.64182669674165,189.6888427734375,58681900,GOOGL,-0.5801349137571132,179.7576904296875,173.3962939453125,1.2632430658959257
2025-07-24,196.46951227536783,197.38689334762466,190.45666688872916,191.6233367919922,74881700,GOOGL,1.019824882829412,180.8291343688965,174.0723971557617,1.2040426570960703
2025-07-25,191.43387927305906,193.77720042486192,190.71592620592727,192.63046264648438,39785900,GOOGL,0.5255757839064401,181.80834045410157,174.74732971191406,1.1772090437648712
2025-07-28,193.0991291078416,193.49800038051387,190.29712498462092,192.0321807861328,38139500,GOOGL,-0.3105852792606001,182.50884323120118,175.2939697265625,1.054271913366946
2025-07-29,191.88259792418754,195.36267559548023,191.53360267868564,195.1931610107422,41389200,GOOGL,1.6460679723935279,183.48206634521483,175.93191497802735,1.012543038646223
2025-07-30,195.04360005779435,197.0379108346005,194.13618500265545,195.970947265625,32445400,GOOGL,0.3984700339168201,184.5136245727539,176.54099670410156,0.9976660882027688
2025-07-31,195.15328548422434,195.43248777249184,190.54641729704366,191.35411071777344,51329200,GOOGL,-2.3558780585949624,185.17473907470702,177.0507699584961,1.1604903513610527
2025-08-01,188.49227361862017,190.2871562824159,187.28572417197353,188.5919952392578,34832200,GOOGL,-1.4434576127760557,185.65337448120118,177.55629333496094,1.2280170368261198
2025-08-04,189.74866576237366,194.71450986073793,189.57915119577783,194.4851531982422,31547400,GOOGL,3.1248187132799643,186.56327743530272,178.08845092773439,1.3081414105819023
2025-08-05,194.1561209300893,197.2971541323202,193.33844625639603,194.11622619628906,31602300,GOOGL,-0.18969417247859388,187.57588806152344,178.56721740722656,1.244015626066128
2025-08-06,193.94670749735778,196.07065317332066,193.11906676548202,195.5321807861328,21562900,GOOGL,0.7294364915233498,188.5466178894043,179.12210845947266,1.23276232478161
2025-08-07,196.49942519635405,196.9780554903085,193.77719542929833,195.96096801757812,26321800,GOOGL,0.21929240993547872,189.48893051147462,179.5973342895508,1.234686362546316
2025-08-08,196.65896623314958,202.03363260270996,196.60910542589713,200.84701538085938,39161800,GOOGL,2.493377845961131,190.5474105834961,180.18103698730468,1.2969041057398893
2025-08-11,200.36839577051538,200.90685295750995,198.50372015999918,200.42822265625,25832400,GOOGL,-0.20851329247548733,191.5166458129883,180.7663232421875,1.3073317272579794
2025-08-12,200.7971688962253,203.9182700251912,200.01938893683175,202.76156616210938,30397900,GOOGL,1.1641791135678758,192.58060989379882,181.40066650390625,1.313339629504487
2025-08-13,203.5493232968563,203.94817934449617,196.94814463612107,201.385498046875,28342900,GOOGL,-0.678663191097173,193.52740859985352,182.06146911621093,1.3424708668200824
2025-08-14,200.9268104830451,203.85844975532365,200.65757426824428,202.3627166748047,25230400,GOOGL,0.48524776481284615,194.49265518188477,182.79858520507813,1.3418875662161578
2025-08-15,203.270115954676,205.85274455493158,200.70741950553764,203.31996154785156,34931400,GOOGL,0.4730342074746652,195.43197479248047,183.51759735107422,1.3400978583993188
2025-08-18,203.61911775674488,204.68608127587706,201.91399064284568,202.92111206054688,18526600,GOOGL,-0.19616838615760246,196.10006866455078,184.2254458618164,1.2397680367055035
2025-08-19,202.45245084896237,202.86128819689205,199.39119181596234,200.99661254882812,24240200,GOOGL,-0.9483978735265963,196.61011352539063,184.78584747314454,1.2704076878600454
2025-08-20,200.15898342104597,200.70742189093835,196.04074228977996,198.7530059814453,28955500,GOOGL,-1.1162409848264332,197.063321685791,185.2491256713867,1.2946777258434328
2025-08-21,199.18177795410156,201.9040077554449,198.86268094385764,199.18177795410156,19774600,GOOGL,0.21573106305434742,197.44124374389648,185.67092254638672,1.2816581108625194
2025-08-22,202.1532808743346,207.94675047969133,200.72735616103287,205.50372314453125,42827000,GOOGL,3.173957605643274,198.08490676879882,186.2440869140625,1.443510205077905
2025-08-25,205.84277405344866,209.92115104730735,204.69605147341804,207.8969268798828,29928900,GOOGL,1.1645549281208867,198.87814407348634,186.89802154541016,1.4465354224961053
2025-08-26,206.91969332896332,207.258737698756,205.11484464858782,206.55075073242188,28464100,GOOGL,-0.6475209459150477,199.4460235595703,187.5455743408203,1.4340426060364486
2025-08-27,205.11485047791405,208.31572581537765,205.0649896678173,206.88978576660156,23022900,GOOGL,0.1641412742279913,199.99196548461913,188.15802673339843,1.434091750419432
2025-08-28,206.66045236066026,211.6163158130296,206.31144189175058,211.0379638671875,32339300,GOOGL,2.0050183169823654,200.97615814208984,188.8697964477539,1.3405143287642847
2025-08-29,209.91116980825524,214.03939239893296,209.60205408045064,212.30435180664062,39728400,GOOGL,0.6000758897816594,202.161775970459,189.6593438720703,1.2601174401706647
2025-09-02,207.84705371453168,211.07782715720617,205.61342035910417,210.748779296875,47523000,GOOGL,-0.7327087252466669,202.97495727539064,190.55100006103515,1.1433577730659887
2025-09-03,225.5665221360729,230.65200537566233,224.15054812619755,230.0038604736328,103336100,GOOGL,9.136508994737191,204.76933898925782,191.85667572021484,2.251424630446879
2025-09-04,228.99670478436465,231.70896837288984,225.46678177531555,231.63917541503906,51684200,GOOGL,0.7109945624559355,206.57468872070314,193.16354675292968,2.2514910821060408
2025-09-05,231.53947436612376,235.08934505645462,231.24032471140728,234.33151245117188,46588900,GOOGL,1.162297798422407,208.49321594238282,194.44628784179687,2.2469305188456654
2025-09-08,235.01017746372742,237.66498669397225,233.21368944217105,233.5829620361328,32474700,GOOGL,-0.31944078165545564,210.1300132751465,195.65702026367188,2.2313108846644107
2025-09-09,233.71271899928072,240.00041962038168,232.77455216251747,239.1620635986328,38061000,GOOGL,2.3884882329889168,212.06670532226562,196.87981903076172,2.246248003291199
2025-09-10,238.4334648921733,241.1880848518513,237.38552753776509,238.70294189453125,35141100,GOOGL,-0.19197095776530837,213.86377410888673,198.13930389404297,2.258614359792958
2025-09-11,239.41157085914617,241.77693788592924,235.78865459463688,239.90060424804688,30599300,GOOGL,0.5017375755866471,215.7895294189453,199.43052032470703,2.2320403368531756
2025-09-12,239.90058949520323,241.6072568290254,237.53522261387997,240.3297576904297,26771600,GOOGL,0.17888802061503117,217.68788146972656,200.6744790649414,2.2360946494304073
2025-09-15,244.18222746714693,251.91709313601174,244.18222746714693,251.11865234375,58383800,GOOGL,4.489204648230682,220.07781600952148,202.1164663696289,2.3731738834345224
2025-09-16,251.58774200911427,252.54585880051692,248.98283818718852,250.66954040527344,34109700,GOOGL,-0.17884451604247564,222.46523742675782,203.60411529541017,2.3726840124648616
